split,cohort,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std
dev,NACT,v2_lcc_fillholes,20,20,0.5984128075186518,0.732484603616626,0.3209160403287051,0.4920414976754938,0.577891058853627,0.3027677759440065,0.6336467459215231,0.7815272251676262,0.36132733635202235,0.6871186037831478,0.7991971941992433,0.30363356346939824,29.95840816061166,15.620087356488147,31.532989988128538,27.32588650143428,9.669671342106085,38.05059624213151,2.1617985213259145,1.0058161432874064,3.6820051974161085,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_lcc_intersect_v1,20,20,0.594944209224601,0.7267301615036521,0.3193627692120098,0.4874839092193395,0.5707673463824183,0.30008024064233874,0.632906685814487,0.7804435425714218,0.3611054751433169,0.681347602519315,0.7893195689350159,0.3025499861300613,29.680631989675135,15.438153743613658,31.104044751024194,27.32588650143428,9.669671342106085,38.05059624213151,2.148486479838861,0.9925137922901498,3.660327204750805,1.05,1.0,0.22360679774997902,0.9999862637362638,1.0,6.143043894230171e-05
dev,NACT,v2_lcc_union_v1_lcc,20,20,0.592893182178683,0.7332298115009941,0.322497963486726,0.4866192605497702,0.5788308608159121,0.30298515106831686,0.6236124433482898,0.7804317371143284,0.3665519739629523,0.6886054427337429,0.7893707984432126,0.29807574325243513,30.18227060067046,15.438153743613658,31.23707347118922,27.32588650143428,9.669671342106085,38.05059624213151,2.19980625777464,1.0723875579197566,3.6485526208716323,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_raw,20,20,0.5404677167101413,0.6168682866643059,0.24925262749209257,0.4055636569381509,0.44608594093391907,0.2196834410074897,0.5278407670006048,0.5218914917293158,0.3117282700500324,0.7232590435758178,0.8056747723360222,0.25529608449415436,32.781336165652384,24.243525869555743,30.648280396092073,27.32588650143428,9.669671342106085,38.05059624213151,2.5740333280540524,1.459961837072428,3.804628883308481,68.45,61.5,44.21178099723385,0.8112612525852214,0.9169152119562154,0.20218841423409098
dev,NACT,v2_remove_small_100,20,20,0.5469461470686949,0.634056470641363,0.2519936068286413,0.41278396556611685,0.4644169162408655,0.2230786918870287,0.5384098355394359,0.5409727875912708,0.31265510943411867,0.7215590590022661,0.7970766959734457,0.2564143834405664,32.3202891634849,23.693934784769954,30.54194759165535,27.32588650143428,9.669671342106085,38.05059624213151,2.5261556273021606,1.381213431563399,3.7880495675720636,3.1,3.0,1.9166857359844667,0.8305935787484838,0.9292129400325407,0.19792285036347046
dev,NACT,v2_remove_small_1000,20,20,0.5577266208834983,0.6558254128817089,0.258834883826826,0.42591127739008583,0.4879488953338832,0.23248387549176608,0.5560211739983226,0.5505202764813315,0.3199369704261711,0.7208684929354783,0.7970766959734457,0.25603966457446087,31.92132620338653,23.2025146484375,30.569354739313525,27.32588650143428,9.669671342106085,38.05059624213151,2.4855894781405916,1.3370860894387913,3.7992193409469914,1.6,1.5,0.6805570473787206,0.8532384186751353,0.9900947940080136,0.19648883186946633
dev,NACT,v2_remove_small_1000_fillholes,20,20,0.5605125009452954,0.6550425791475178,0.2607729734265863,0.4294727382214666,0.4870829406156882,0.2355672584843007,0.5566024515598471,0.5535330293676122,0.3203457921148779,0.7259921100495424,0.8051966011254847,0.2572610703903165,32.19788397015637,23.3087158203125,30.996796769609173,27.32588650143428,9.669671342106085,38.05059624213151,2.4987010918148345,1.3429219041004279,3.821102994078268,1.6,1.5,0.6805570473787206,0.8533322341479277,0.9901864505242193,0.19644584188985362
dev,NACT,v2_remove_small_100_fillholes,20,20,0.5497159696052999,0.6333088465117227,0.2539630649658927,0.4162464627518208,0.46361574625079705,0.22606997668701115,0.5390867620924495,0.5426770039954549,0.3131549128623949,0.7266826761163302,0.8051966011254847,0.25762311394005577,32.597224798926526,23.8311767578125,30.970470360331692,27.32588650143428,9.669671342106085,38.05059624213151,2.5393088604827043,1.3858002726249037,3.8099064106413634,3.1,3.0,1.9166857359844667,0.8308135894914017,0.9301977032351405,0.1979262862036928
dev,NACT,v2_remove_small_250,20,20,0.5498618118838347,0.6415220035746579,0.25337208642473774,0.41610426302622205,0.47261691458836863,0.22474358765675984,0.543024857174538,0.5496939107383374,0.31341474227957455,0.7208684929354783,0.7970766959734457,0.25603966457446087,32.17844427935891,23.638563684419204,30.54588553213192,27.32588650143428,9.669671342106085,38.05059624213151,2.5123352369530383,1.3585701171754119,3.7917820285780306,2.15,2.0,0.9880869341680844,0.837301472376369,0.9292129400325407,0.19551523424655282
dev,NACT,v2_remove_small_250_fillholes,20,20,0.552632125400061,0.6407497102430315,0.2553056900081944,0.41957127001802197,0.4717798631373862,0.22767864648950312,0.5436931797824596,0.5512516743425082,0.3139023466519219,0.7259921100495424,0.8051966011254847,0.2572610703903165,32.45523159935317,23.751220703125,30.974959881718323,27.32588650143428,9.669671342106085,38.05059624213151,2.525480064417695,1.3644059318370485,3.813656333990109,2.15,2.0,0.9880869341680844,0.8375070672390077,0.9301977032351405,0.19551122703976156
