split,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std,dice_ci95_low,dice_ci95_high,family
dev,v2_lcc_fillholes,159,159,0.6045440549870523,0.714593473230671,0.2787447212540573,0.4825291602392351,0.5559279950341403,0.2519895179945363,0.6244800415252277,0.7273681198130306,0.3088379923888399,0.669847035788341,0.772932496421099,0.3030996383244727,28.61803849235676,13.53133905003636,38.871796218927976,27.846511393517343,11.200298614802886,43.306310802881,1.6486003065512074,1.1262521262521263,2.2612072999377326,1.0,1.0,0.0,1.0,1.0,0.0,0.5606874616897066,0.6472458331526308,lcc_fillholes
dev,v2_lcc_intersect_v1,159,159,0.595563359657304,0.7123674535088187,0.2781018375949012,0.4724309604357596,0.5532381543554727,0.2492087189088987,0.6243167046039926,0.7234509230488028,0.3087326522690565,0.654108331571982,0.7611132586006958,0.3011809086812185,28.151814375355837,13.19814685089511,38.57336076105638,27.846511393517343,11.200298614802886,43.306310802881,1.6120673744575136,1.1049432215008148,2.2459068882190047,1.949685534591195,1.0,6.017694102025202,0.9976561265378536,1.0,0.020529624846139,0.5526773394614571,0.6399956222679254,lcc
dev,v2_lcc_union_v1_lcc,159,159,0.5949312431010098,0.7028171607438778,0.2737923949188169,0.4704682301093993,0.5418026969481902,0.2463881537775429,0.607822738777703,0.7094463331714425,0.3075867224146888,0.674550080287479,0.7922967768092438,0.2942934021136879,29.250637800759016,13.752641054467128,39.17732200339788,27.846511393517343,11.200298614802886,43.306310802881,1.7637218747750087,1.1423076923076922,2.379450252059802,1.0125786163522013,1.0,0.1117989483684942,0.9958529659182056,1.0,0.0376767571728405,0.5534933548684107,0.6378457030311077,lcc
dev,v2_raw,159,159,0.5660918707772874,0.6279037800687285,0.2210812848615961,0.4255954155721898,0.4576237227008615,0.2033234885735458,0.5402913908874779,0.5770274344287006,0.2661265168836146,0.7321311697147829,0.8010216984472207,0.2208382520923728,33.429672791004286,16.636902568483986,41.77120168445606,27.846511393517343,11.200298614802886,43.306310802881,2.219111914370143,1.333517597199189,2.9942277485244047,127.94339622641508,84.0,149.76218469830036,0.8055343511899603,0.8662535211267606,0.1830094847706592,0.5327058288237358,0.6022558291723895,baseline_raw
dev,v2_remove_small_100,159,159,0.5746991943372758,0.6430717461843528,0.2220940321225052,0.4346603023938893,0.4739172792489593,0.2054184505792669,0.5558569622972235,0.6168038603462958,0.2689701691704568,0.7306220917550883,0.800768802791968,0.2223532377155519,32.665071456491425,16.16693419470859,41.21065527525758,27.846511393517343,11.200298614802886,43.306310802881,2.13738959236072,1.2770261564231415,2.908806225508452,5.264150943396227,4.0,4.752684558091086,0.8343810550020552,0.9032163742690058,0.1789329429918908,0.5412068780569581,0.6108173372720607,small_component_removal
dev,v2_remove_small_1000,159,159,0.5824966597480012,0.6633749636944525,0.232437809302565,0.4453181515115662,0.4963059539330726,0.2137764198113972,0.5702184285398344,0.6450147445604527,0.2807856039240781,0.7233981398801985,0.800768802791968,0.2359162169148976,31.96044998649492,15.321738858141908,40.950446390380215,27.846511393517343,11.200298614802886,43.306310802881,2.03119969851653,1.229971913869199,2.8292793193183825,1.6729559748427674,1.0,0.8605036451787839,0.8690955705769624,0.9851529852837686,0.1862770427152564,0.5459511929205001,0.6191242714380476,small_component_removal
dev,v2_remove_small_1000_fillholes,159,159,0.5870600958030245,0.6636565894516424,0.2346110350711489,0.4508590177882043,0.4966212907648614,0.2172108893707557,0.571887579265789,0.6477236800505849,0.2807847042524742,0.7326969036533987,0.8099147458162299,0.2402021890185226,32.221043655820395,15.749765966366976,41.2303210306095,27.846511393517343,11.200298614802886,43.306310802881,2.044410464115848,1.2404047324825958,2.8404028654957867,1.6729559748427674,1.0,0.8605036451787839,0.8694381324673894,0.9851861978114844,0.1860462814141923,0.5502918438343543,0.6242099270133648,small_component_removal
dev,v2_remove_small_100_fillholes,159,159,0.57921840568854,0.649059312655161,0.2242725516382236,0.440052969226166,0.4804498959394234,0.2088214478298746,0.5575940793312489,0.6173303103301686,0.268999434724687,0.7399258309772353,0.8099147458162299,0.2265937471890948,32.926062580379174,16.2076482137318,41.49056043275992,27.846511393517343,11.200298614802886,43.306310802881,2.1506457782711577,1.2774449168921531,2.919613670900184,5.264150943396227,4.0,4.752684558091086,0.8348986680614627,0.9049164677804296,0.1787070655734285,0.5456044724329273,0.6149111292093813,small_component_removal
dev,v2_remove_small_250,159,159,0.5783327059733143,0.6500801538954794,0.2220709241345016,0.4383714927239258,0.4815694470834125,0.2057409969305337,0.5631453363206215,0.6259931185486394,0.2711003704860045,0.7301580024535099,0.800768802791968,0.2226727985437434,32.42338700515588,15.777206040144174,41.12857661625558,27.846511393517343,11.200298614802886,43.306310802881,2.103158461813841,1.268425460636516,2.8780549858857234,2.949685534591195,2.0,2.0891484005991856,0.8477152580944389,0.9134466084024666,0.1763769426820296,0.5448151053042736,0.6145073332874089,small_component_removal
dev,v2_remove_small_250_fillholes,159,159,0.5828683492543847,0.6511848904199086,0.2242575858160748,0.4438119815910959,0.4827829150154117,0.2091698265833304,0.5648660089953627,0.6249688123752495,0.2711108436144819,0.7394617416756569,0.8099147458162299,0.2269226481378156,32.68433432955849,16.2076482137318,41.40889365629528,27.846511393517343,11.200298614802886,43.306310802881,2.1163971065801768,1.2688442211055275,2.888931773053043,2.949685534591195,2.0,2.0891484005991856,0.8481780556006334,0.9149151741843086,0.1761351208907606,0.5483996842268923,0.618770057773317,small_component_removal
