feature_a,feature_b,spearman_rho,abs_rho,n
kin_ring_max_enh,kin_fg_max_enh,0.6043109975500074,0.6043109975500074,526
kin_ring_auc_enh,kin_fg_auc_enh,0.6017916176650961,0.6017916176650961,526
kin_tumor_to_ring_max_enh_diff,kin_gt_auc_enh_norm,0.6000611828197489,0.6000611828197489,526
v2_small50_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5958737053020644,0.5958737053020644,526
v2_small100_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5957682432717967,0.5957682432717967,526
v2_raw_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5956305406990466,0.5956305406990466,526
kin_ring_auc_enh_norm,kin_fg_auc_enh_norm,0.593749210220087,0.593749210220087,526
kin_ring_max_enh,kin_fg_auc_enh_norm,0.5901834556955371,0.5901834556955371,526
kin_tumor_to_fg_max_enh_diff,kin_gt_auc_enh,0.5887363418322069,0.5887363418322069,526
v2_lcc_dice_gap_to_volume_bound,v1_raw_dice_utilization_of_volume_bound,-0.5877902867103958,0.5877902867103958,526
v1_small50_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5877096743272312,0.5877096743272312,526
v1_small100_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5876474195712874,0.5876474195712874,526
v1_raw_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5872544312708525,0.5872544312708525,526
kin_ring_auc_enh_norm,kin_fg_max_enh,0.5857997313975265,0.5857997313975265,526
kin_gt_auc_enh_norm,kin_ring_max_enh,0.5857685627912395,0.5857685627912395,526
v1_raw_n_components_ge100,v1_raw_largest_component_fraction,-0.5765894623491028,0.5765894623491028,526
v2_raw_n_components_ge100,v2_raw_largest_component_fraction,-0.5709616445917378,0.5709616445917378,526
late_dev_s,kin_fg_auc_enh_norm,-0.5607475596430512,0.5607475596430512,526
kin_late_dev_s,kin_fg_auc_enh_norm,-0.5607475596430512,0.5607475596430512,526
v1_lcc_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.5595234419046656,0.5595234419046656,526
v1_raw_n_components_ge100,v2_raw_largest_component_fraction,-0.5570018746592623,0.5570018746592623,526
kin_fg_max_enh,kin_fg_late_slope,-0.5532119909443549,0.5532119909443549,340
v1_raw_largest_component_fraction,v2_raw_n_components_ge100,-0.5527582652073361,0.5527582652073361,526
v2_lcc_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.5517592431305897,0.5517592431305897,526
pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.5517592431305897,0.5517592431305897,526
v1_lcc_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.5499886519062427,0.5499886519062427,526
kin_gt_max_enh,kin_ring_max_enh,0.5418620562416061,0.5418620562416061,526
v2_raw_largest_component_fraction,v1_raw_theoretical_max_dice_by_volume_ratio,0.5366341409616711,0.5366341409616711,526
pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.5310183496923853,0.5310183496923853,526
v2_lcc_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.5310183496923853,0.5310183496923853,526
late_dev_s,kin_fg_max_enh,-0.5283009685474105,0.5283009685474105,526
kin_late_dev_s,kin_fg_max_enh,-0.5283009685474105,0.5283009685474105,526
kin_gt_max_enh,kin_ring_auc_enh_norm,0.5274830216644489,0.5274830216644489,526
v2_raw_dice_gap_to_volume_bound,v1_lcc_dice_utilization_of_volume_bound,-0.5239016028342278,0.5239016028342278,526
kin_fg_auc_enh_norm,kin_fg_late_slope,-0.519628248361603,0.519628248361603,340
v2_raw_largest_component_fraction,v2_raw_theoretical_max_dice_by_volume_ratio,0.5187267871701606,0.5187267871701606,526
kin_gt_first_post_s,kin_fg_auc_enh_norm,-0.517970247981449,0.517970247981449,526
