cohort,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
NACT,v2_lcc,64,0.5959355946402533,0.2936547156108685,0.7038776991687654,0.4796567316666277,0.2721193691339409,0.5430645161108869,0.5878920044474971,0.31546882877863747,0.6552773940178328,0.7105463353268211,0.3239514296551741,0.888900232813115,29.63478536998099,26.482148666653046,20.471979472823296,30.754605470382938,53.06037908287118,10.474029656325001,1.777290729729225,2.1483375197512378,1.2025229164508602,,,
NACT,v1_small50,64,0.5689140724466839,0.214267259987579,0.6009832628327494,0.4276982299701899,0.2073215868133557,0.42957573389442816,0.5147595697287823,0.25603938495528583,0.48258964037365154,0.7862454004721919,0.2335494216697206,0.8991560439327795,33.31381706656097,27.516723567452974,26.154314402120512,30.754605470382938,53.06037908287118,10.474029656325001,2.1955417446338146,2.346188507128416,1.7369968430868954,,,
NACT,v1_small100,64,0.5708520710074001,0.21489525335561246,0.6047867014416305,0.42983658919529116,0.20807843940140916,0.43347274552506887,0.5177508896242102,0.25624512277482375,0.49582133336571843,0.7851617381563871,0.23377637410488875,0.8991560439327795,33.154114424374825,27.447948322518428,25.93466719330936,30.754605470382938,53.06037908287118,10.474029656325001,2.1793988287434494,2.3417708127049686,1.7105358904182852,,,
NACT,v2_small50,64,0.5655131543056734,0.21801674960360182,0.6010088106810991,0.42515513309179964,0.20947243082222386,0.42960181802994424,0.5122715191346594,0.26039229910120926,0.48258656328241384,0.7851379984792601,0.23482873306342827,0.8991434738545936,33.7309746979392,27.524349241370086,26.57016345780503,30.754605470382938,53.06037908287118,10.474029656325001,2.2333757968698627,2.356540624586875,1.7460796654826432,,,
NACT,v2_small100,64,0.5674884091271932,0.21857205759766993,0.6048126674507811,0.42730566136607995,0.21017105119456336,0.4334994429662601,0.5153000412749897,0.2605087251887611,0.495818227797562,0.7840626866874312,0.23501183330966116,0.8991434738545936,33.57162074498503,27.458584387231703,26.32905202488364,30.754605470382938,53.06037908287118,10.474029656325001,2.216870383784272,2.3522427369754393,1.7105358904182852,,,
NACT,kin_v1_raw,64,0.5616053732299022,0.21222566284722666,0.588052716244284,,,,0.5042800721334992,0.2550778899945349,0.4669897784593985,0.7878809765337609,0.23120199379278675,0.8992943147928243,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_v1_lcc,64,0.6101155106637977,0.2780868110421151,0.7038776991687654,,,,0.5961151638174156,0.3034864701679099,0.6552773940178328,0.7350283300725642,0.2997705292786656,0.8977833408756339,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_v2_raw,64,0.558029443699041,0.21611066898421097,0.5880770442126917,,,,0.5016443636425028,0.2594453509564477,0.4670324168578183,0.786553522573932,0.23282657244784394,0.8992817447146384,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_v2_lcc,64,0.5959355946402533,0.2936547156108685,0.7038776991687654,,,,0.5878920044474971,0.31546882877863747,0.6552773940178328,0.7105463353268211,0.3239514296551741,0.888900232813115,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_v2_kinetic_cc,64,0.26030284557376787,0.3523614311676298,0.0,,,,0.29981314493827366,0.3791908339434983,0.0,0.31821301313924505,0.42061169540397814,0.0,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_delta_v2_lcc_minus_raw,64,0.03790615094121216,0.1533587785740952,0.01754025781774765,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,kin_delta_kineticcc_minus_lcc,64,-0.3356327490664853,0.4088841896765036,-0.25472327876281714,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v1_raw_error_1_minus,64,0.4383946267700978,0.21222566284722666,0.411947283755716,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v1_lcc_error_1_minus,64,0.38988448933620234,0.2780868110421151,0.2961223008312345,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v1_small50_error_1_minus,64,0.43108592755331615,0.214267259987579,0.3990167371672506,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v1_small100_error_1_minus,64,0.42914792899259985,0.21489525335561246,0.39521329855836945,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v2_raw_error_1_minus,64,0.441970556300959,0.21611066898421097,0.4119229557873083,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v2_lcc_error_1_minus,64,0.40406440535974675,0.2936547156108685,0.2961223008312345,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v2_small50_error_1_minus,64,0.4344868456943266,0.2180167496036018,0.3989911893189009,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
NACT,v2_small100_error_1_minus,64,0.4325115908728067,0.21857205759766993,0.39518733254921884,,,,,,,,,,,,,30.754605470382938,53.06037908287118,10.474029656325001,,,,,,
