volume_ratio_group,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
0.5-1.0,v1_raw,155,0.6845062220714125,0.1428435401420184,0.7088009601511728,0.5367338199316275,0.1539425407576981,0.5489478680484139,0.7159480602148244,0.19134990128724932,0.7574722459436379,0.6857720613566191,0.14416682645414094,0.7058229083179426,27.172265871787655,35.308272317084494,14.417448978914765,30.782007088427683,49.30892609046632,14.170455932617188,1.044455058761722,0.41849821919812535,0.9503160594863652,0.8358876834282317,0.16816960962309552,0.9058708414872798
0.5-1.0,v1_lcc,155,0.7270870983007219,0.173277751584514,0.7631975867269984,0.5940963975919424,0.173304907545243,0.6170731707317073,0.8217544509028698,0.18764811234191978,0.8778309195015157,0.6634745154126483,0.1803642823802514,0.6935558138005131,23.490957706510052,32.80084253754183,11.98486328125,30.782007088427683,49.30892609046632,14.170455932617188,0.8175288707834716,0.17970783182255495,0.8411829134720701,,,
0.5-1.0,v2_raw,155,0.6908651260734181,0.14080250572989317,0.7164383136048715,0.5438045189903549,0.15249969361197782,0.5581643026576947,0.7352329654856585,0.18650089029862338,0.7807820687340332,0.6772601688649936,0.1438833669340778,0.6917483401833702,26.33913499174136,34.94281138284965,14.024658203125,30.782007088427683,49.30892609046632,14.170455932617188,0.9881654456403935,0.35792374266113836,0.90284680466131,0.8418259964890861,0.16815623979716554,0.9135014528850144
0.5-1.0,v2_lcc,155,0.7289551606601701,0.17231257749893417,0.761202255288482,0.5962425711250054,0.17286631784250034,0.6144685510916433,0.8381607126388838,0.18401342409384866,0.889360630978352,0.6546024562501334,0.17952139633290146,0.6838159255429163,22.99633736412287,32.725368075635636,11.07586629295838,30.782007088427683,49.30892609046632,14.170455932617188,0.7828805126768321,0.1414132201894434,0.7926506290002208,,,
0.5-1.0,v1_small50,155,0.6924429322421417,0.14150279295447324,0.7204137590477304,0.5458932404009508,0.15385870783243788,0.5630052402811065,0.7346792152502334,0.18819204601718864,0.7836210166919575,0.6832713853233138,0.14532222510466172,0.7026183844011142,26.492467871102594,34.55592411101903,13.363037109375,30.782007088427683,49.30892609046632,14.170455932617188,1.0060516177226517,0.3920642391829225,0.9319362752975712,,,
0.5-1.0,v1_small100,155,0.6949756228962918,0.1411270787159088,0.721387881926463,0.5488712792827457,0.15408241840910955,0.564196030781693,0.7408493940318459,0.18750058720761356,0.787156365229455,0.6822920163140185,0.14522817916142197,0.7006179651291106,26.30679253232586,34.44561746748597,13.19091796875,30.782007088427683,49.30892609046632,14.170455932617188,0.9937376871638373,0.38144255375780123,0.9246303244316928,,,
0.5-1.0,v2_small50,155,0.6981582638972776,0.13955215518330397,0.7232234862058273,0.5523083680033203,0.15253786700505811,0.5664448542029002,0.7539742523961431,0.18289193943748122,0.8045147730487854,0.6744118183754648,0.145093462854374,0.6872851538803737,25.67397776768264,34.18687051085951,13.15800787222688,30.782007088427683,49.30892609046632,14.170455932617188,0.9528620083744023,0.33772308361604414,0.8696985181400103,,,
0.5-1.0,v2_small100,155,0.7001491579893216,0.13908804126463675,0.7280545840261453,0.5546297896075899,0.15252889340870696,0.5723945185719438,0.7594322450749773,0.18203935282888054,0.8115674769488684,0.673336975134484,0.145045470901091,0.6847413774201329,25.5014437466478,34.08041393600051,12.89845671186922,30.782007088427683,49.30892609046632,14.170455932617188,0.9423472287469526,0.3284614381220519,0.8615227388860502,,,
0.5-1.0,kin_v1_raw,155,0.6845062220714125,0.1428435401420184,0.7088009601511728,,,,0.7159480602148244,0.19134990128724932,0.7574722459436379,0.6857720613566191,0.14416682645414094,0.7058229083179426,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_v1_lcc,155,0.7270870983007219,0.173277751584514,0.7631975867269984,,,,0.8217544509028698,0.18764811234191978,0.8778309195015157,0.6634745154126483,0.1803642823802514,0.6935558138005131,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_v2_raw,155,0.6908651260734181,0.14080250572989317,0.7164383136048715,,,,0.7352329654856585,0.18650089029862338,0.7807820687340332,0.6772601688649936,0.1438833669340778,0.6917483401833702,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_v2_lcc,155,0.7289551606601701,0.17231257749893417,0.761202255288482,,,,0.8381607126388838,0.18401342409384866,0.889360630978352,0.6546024562501334,0.17952139633290146,0.6838159255429163,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_v2_kinetic_cc,155,0.33982675719778493,0.38359451453887083,0.0027002700270027,,,,0.45511464420554043,0.4368020897717905,0.5715126545026487,0.3043184891712796,0.3496113745328158,0.0013856812933025,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_delta_v2_lcc_minus_raw,155,0.03809003458675199,0.10319225065986323,0.0182371448454136,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,kin_delta_kineticcc_minus_lcc,155,-0.38912840346238525,0.40467635656304185,-0.5743960711441465,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v1_raw_error_1_minus,155,0.31549377792858746,0.1428435401420184,0.2911990398488272,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
