primary_failure_type,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
good_segmentation,kin_v2_lcc,252,0.8067889254350922,0.06103859181847637,0.8046523765913387,,,,0.8070047495291782,0.10940485251888417,0.823682681169847,0.82753048530524,0.10257837067796607,0.849348718533973,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,kin_v2_kinetic_cc,252,0.33962559040207196,0.40079358624456235,0.0,,,,0.3648682164352425,0.4084610837994965,0.0,0.34815062386652695,0.4139006090115237,0.0,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,kin_delta_v2_lcc_minus_raw,252,0.0701836615777464,0.09175925403315131,0.028495140924347448,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,kin_delta_kineticcc_minus_lcc,252,-0.46716333503302027,0.4016554485567735,-0.7324616308085791,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v1_raw_error_1_minus,252,0.2756917538575989,0.12006742915653888,0.2544622661916627,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v1_lcc_error_1_minus,252,0.2049997652340845,0.09648448135107436,0.20227022915539233,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v1_small50_error_1_minus,252,0.2653081224065748,0.11682338041984346,0.24673139301560681,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v1_small100_error_1_minus,252,0.2618531512066418,0.11569297180918628,0.2427496266272493,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v2_raw_error_1_minus,252,0.2633947361426542,0.10544931583618382,0.24727798387936856,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v2_lcc_error_1_minus,252,0.19321107456490771,0.06103859181847637,0.1953476234086612,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v2_small50_error_1_minus,252,0.2533072136496163,0.10194634061123306,0.23952743061296675,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,v2_small100_error_1_minus,252,0.2502991186808829,0.10089306470590123,0.2373287286466069,,,,,,,,,,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
low_volume_undersegmentation,v1_raw,50,0.34790075208967525,0.20133663031044502,0.3593677236079065,0.228129844761939,0.1480832348809007,0.2190460867117446,0.5814375714354441,0.30137181125915474,0.6049978392229928,0.26315691656052476,0.16511080360689329,0.24478408349204325,30.470006970310756,39.277983339082866,13.98781534953026,77.74047157068003,101.59003858052553,38.8555896869002,0.4440314082035906,0.24622754421092258,0.4325921338936882,0.7231315413282211,0.22735187920575595,0.7968802162129868
low_volume_undersegmentation,v1_lcc,50,0.3420447719537162,0.21869825598424494,0.377106728724813,0.22674055395697182,0.1591977680944144,0.23236702648543206,0.6940914680266398,0.34751075755740024,0.8333265235056434,0.23967908196536314,0.16802875181123028,0.2366833656271867,24.881114697548618,36.09539591424579,9.342011369782819,77.74047157068003,101.59003858052553,38.8555896869002,0.31826872617166624,0.16541559742672027,0.2908842325743413,,,
low_volume_undersegmentation,v2_raw,50,0.3460789720522305,0.19728593306765332,0.3555787035889145,0.22596457174358028,0.14408281494325462,0.21625367906301796,0.6018617900585348,0.30479909038890696,0.6506440483405979,0.2536923456864367,0.15387639995684058,0.24478408349204325,29.604290903653727,39.136807736191166,12.609502443610413,77.74047157068003,101.59003858052553,38.8555896869002,0.40979350386022906,0.19885809134392793,0.4216901448535272,0.7283827214729497,0.22813763312730412,0.804883855634402
low_volume_undersegmentation,v2_lcc,50,0.3351018945207687,0.21079863979566799,0.37198699084133224,0.21990375217024144,0.15113590800875906,0.22850151137601427,0.7099950087815098,0.35392652368914435,0.8513204573120678,0.22910815522938852,0.1557138391147071,0.2366833656271867,24.293265954370266,35.88475416300497,8.339492234042797,77.74047157068003,101.59003858052553,38.8555896869002,0.2973594691721772,0.14438798058903599,0.2908880969088057,,,
low_volume_undersegmentation,v1_small50,50,0.3456598823417913,0.20281414384854263,0.35480214221084105,0.22668655508761518,0.14881693317921282,0.2156595390854374,0.5998296611698691,0.30357624372342024,0.6286230032251656,0.25715495332198124,0.16455876993860508,0.2374332502351666,29.152784841960514,38.20962496297709,13.33846059614655,77.74047157068003,101.59003858052553,38.8555896869002,0.4101574426638912,0.2238862069659104,0.40746788952023955,,,
