target,feature,spearman_rho,p_value,n,abs_rho,q_value_bh
v2_lcc_precision,kin_ring_auc_enh_norm,-0.16897634539806866,9.850791344081378e-05,526,0.16897634539806866,0.00033217784764925576
v2_lcc_precision,kin_ring_auc_enh,-0.1562714731259129,0.0003211206688487898,526,0.1562714731259129,0.0009700520204807193
v2_lcc_precision,n_phases,0.12934022599418554,0.0029604709434857316,526,0.12934022599418554,0.007665505121525555
v2_lcc_precision,v2_lcc_pred_vol_cm3,-0.12230875817433078,0.004969670949808681,526,0.12230875817433078,0.012424177374521703
v2_lcc_precision,kin_tumor_to_ring_auc_norm_diff,-0.11467089422172046,0.00847907072071,526,0.11467089422172046,0.02015516810660574
v2_lcc_precision,kin_tumor_to_ring_max_enh_diff,-0.0915370374210971,0.03583567783038092,526,0.0915370374210971,0.07318553923105962
v2_lcc_precision,early_dev_s,-0.060976011931352415,0.16258246837025897,526,0.060976011931352415,0.25905997707348954
v2_lcc_precision,late_dev_s,-0.0597484756348779,0.17122590063212886,526,0.0597484756348779,0.26412505948573073
v2_lcc_precision,kin_gt_washout_index,-0.0520384960393817,0.23347508609220244,526,0.0520384960393817,0.3454478314629526
v2_lcc_precision,kin_fg_auc_enh_norm,0.027023989004145602,0.5362950465040537,526,0.027023989004145602,0.6474807339674528
v2_lcc_precision,kin_fg_max_enh,0.015600454496178709,0.7211201689247715,526,0.015600454496178709,0.7981864465197853
v2_lcc_precision,kin_gt_late_slope,-0.010851654905917446,0.8557785564210907,283,0.010851654905917446,0.9057510268690376
v2_lcc_precision,kin_fg_auc_enh,-0.005146531899477243,0.9062625101022558,526,0.005146531899477243,0.9453817551426409
v2_lcc_recall,v2_lcc_pred_to_gt_vol_ratio,0.3336074801355393,3.86458135399377e-15,526,0.3336074801355393,4.669702469409139e-14
v2_lcc_recall,v2_raw_largest_component_fraction,0.30882358201223625,4.365110556841075e-13,526,0.30882358201223625,3.331268582852399e-12
v2_lcc_recall,v1_raw_largest_component_fraction,0.2996324174931255,2.2587982534335058e-12,526,0.2996324174931255,1.488753394308447e-11
v2_lcc_recall,v2_raw_second_largest_component_fraction,-0.24712374587538952,9.271638858530217e-09,526,0.24712374587538952,4.979213461062524e-08
v2_lcc_recall,v2_raw_pred_to_gt_vol_ratio,0.22183819621393805,2.7493620101832607e-07,526,0.22183819621393805,1.24580466086429e-06
v2_lcc_recall,v1_raw_pred_to_gt_vol_ratio,0.2126332414385524,8.589878199353827e-07,526,0.2126332414385524,3.558663825446586e-06
v2_lcc_recall,v1_raw_n_components,-0.16997509887036064,8.943679342780279e-05,526,0.16997509887036064,0.0003087698820721763
v2_lcc_recall,v2_raw_n_components,-0.16681351740778266,0.00012120380071256523,526,0.16681351740778266,0.00039942161598459
v2_lcc_recall,n_phases,-0.12289858047357938,0.004762963740182496,526,0.12289858047357938,0.012116311268885299
v2_lcc_recall,kin_ring_max_enh,0.11816808669778942,0.006663428034782122,526,0.11816808669778942,0.01637622144141369
v2_lcc_recall,kin_gt_auc_enh_norm,0.10258063798222936,0.01860917037347728,526,0.10258063798222936,0.042161401627409466
v2_lcc_recall,kin_tumor_to_fg_max_enh_diff,0.09839385011602433,0.0240241821297165,526,0.09839385011602433,0.05122803542366018
v2_lcc_recall,kin_ring_auc_enh_norm,0.08859236353626276,0.042255044542115025,526,0.08859236353626276,0.08393125285762573
v2_lcc_recall,kin_gt_auc_enh,0.0860892255813838,0.04845030687570107,526,0.0860892255813838,0.09367059329302208
v2_lcc_recall,gt_vol_cm3,-0.0828964922363688,0.05743922941395446,526,0.0828964922363688,0.10816478266264151
v2_lcc_recall,log_gt_vol_cm3,-0.0828964922363688,0.05743922941395446,526,0.0828964922363688,0.10816478266264151
v2_lcc_recall,kin_gt_max_enh,0.07826230551688186,0.07290850197885794,526,0.07826230551688186,0.13214665983668
v2_lcc_recall,kin_fg_auc_enh,-0.0730386059857339,0.09425484076851098,526,0.0730386059857339,0.1646620712220975
v2_lcc_recall,kin_ring_auc_enh,0.07278517906053601,0.09540578800940279,526,0.07278517906053601,0.16468856263527862
v2_lcc_recall,v2_lcc_pred_vol_cm3,0.06787849167020177,0.11997887929857305,526,0.06787849167020177,0.19996479883095508
v2_lcc_recall,kin_gt_late_slope,0.06681390830502891,0.2626023704469401,283,0.06681390830502891,0.36968294868744
v2_lcc_recall,kin_gt_washout_index,0.059816784076168354,0.1707360817749823,526,0.059816784076168354,0.26412505948573073
v2_lcc_recall,kin_tumor_to_ring_max_enh_diff,-0.05140813484824277,0.23919428739960552,526,0.05140813484824277,0.3503350674034626
v2_lcc_recall,late_dev_s,0.043072822193846144,0.32414817927752515,526,0.043072822193846144,0.435198944400381
v2_lcc_recall,kin_fg_auc_enh_norm,-0.041886417060455906,0.3376658627208914,526,0.041886417060455906,0.4491885329773326
v2_lcc_recall,kin_fg_max_enh,-0.0320408346911682,0.46338360155237235,526,0.0320408346911682,0.5863151859006629
v2_lcc_recall,early_dev_s,0.02685220208105924,0.5388898488077325,526,0.02685220208105924,0.6474807339674528
v2_lcc_recall,kin_tumor_to_ring_auc_norm_diff,0.016947688215502108,0.698169136250413,526,0.016947688215502108,0.778727113510076
v2_lcc_recall,v2_raw_pred_vol_cm3,-0.0028101156656717714,0.9487345925955633,526,0.0028101156656717714,0.9622238173501654
